id	title	created	sumVotesIncremented	spinoffCount
1237400358	3D Haem B molecule	2012-12-18T18:38:47Z	18	8
1258612647	Triangle inequality theorem	2012-12-31T18:03:38Z	18	10
1652905198	3D tutorial 5	2013-05-17T15:58:53Z	18	25
1928364375	Elliptic orbit	2013-09-20T10:40:56Z	18	11
5662765160	Circle to square	2016-05-21T20:19:59Z	18	7
4661787965652992	Spin-off of "Smoothed particle hydrodynamics"	2016-07-09T17:01:53Z	18	31
4743822659158016	Circle defined by three points	2016-01-04T21:01:34Z	18	5
5104685201489920	Parabolic Curve	2014-02-11T11:20:16Z	18	14
5137629128556544	Spin-off of "Straight ahead animation"	2016-02-04T14:41:08Z	18	53
5274606616576000	Spin-off of "Genesis effect (final)"	2016-07-11T12:13:35Z	18	34
5335518776655872	Using scale to reflect an image	2014-10-06T21:39:03Z	18	12
5698699489443840	Diplomacy map	2014-01-11T19:59:08Z	18	6
5925965988757504	Spin-off of "Fireworks simulator"	2016-07-07T10:12:54Z	18	59
6113412948426752	Divided cube	2016-07-15T11:40:09Z	18	8
2204692157	Light through a prism	2013-10-15T16:39:03Z	28	11
1646496761	Play Go	2014-05-27T15:08:42Z	17	5
2181972991	Why planets wander	2013-11-26T15:35:31Z	17	13
4935125299494912	Mike Animation program	2016-02-16T17:18:04Z	17	8
5262566611484672	Season simulator	2015-06-04T08:38:38Z	17	42
5981277355638784	Barnsley fern	2016-02-19T12:48:00Z	17	-1
6209595164590080	My Programs	2015-06-27T10:30:26Z	17	5
6414042072088576	Spin-off of "Models of the solar system"	2014-06-02T14:44:41Z	17	30
2203009453	Square orbit with epicycles	2013-10-15T08:41:21Z	27	18
5201252610736128	Correct rotation	2014-01-05T14:24:26Z	51	41
1173037775	3D glyceraldehyde 3-P molecule	2012-11-26T14:07:14Z	16	8
1326082930	Conditional Probability Visualisation	2013-01-31T23:45:25Z	16	10
1867639754	Ellipses and areas	2013-09-20T00:24:02Z	16	9
5959398321029120	Properties of an elliptical orbit	2013-09-24T17:04:21Z	16	19
1224182071	Pressure-Volume Boxes	2014-07-21T18:01:27Z	78	45
1170757732	Cytosine - Guanine base pair	2013-01-07T17:35:01Z	25	11
1080742690	Edit 3D shapes	2012-10-10T23:04:49Z	15	7
1586999909	Bacterium	2013-10-31T10:09:03Z	15	3
4609967724822528	Spin-off of "The Error Game"	2015-10-30T23:01:15Z	15	4
5418138267549696	Cruise to Mars development	2014-06-13T16:26:40Z	15	35
6101762040135680	Spin-off of "Project: Mountain range"	2014-07-18T10:22:10Z	15	4
6552432955883520	Library of biomolecular structures	2014-05-30T18:08:06Z	15	8
6711167286247424	Design challenge: Animating grass	2015-08-03T10:06:05Z	15	4
2204143208	Visible light spectrum	2013-10-11T15:10:25Z	24	9
1138788611	Phase Transition - melting	2016-01-07T08:48:20Z	23	14
1996114831	Mars Viewer	2015-12-10T11:08:54Z	50	10
1374814664	Riemann sums	2015-03-04T14:43:25Z	14	4
1584822815	Amoeba's Life with viruses	2013-04-26T12:16:22Z	14	9
1645062289	3D tutorial 3	2013-05-15T18:06:05Z	14	13
5282595550658560	Test frame rate	2015-11-13T23:09:35Z	14	2
5848986646478848	Women in history: Gertrude Bell	2015-06-20T08:26:20Z	14	1
6171035397259264	Earth orbit 3D	2014-01-09T10:05:01Z	14	13
6591570626740224	Interactive: Weighted subdivision	2015-10-01T15:03:37Z	14	13
6655882597629952	Spin-off of "Project: Create your own character"	2016-02-17T16:44:40Z	14	1
1165293146	3D Turtle	2012-12-18T21:56:22Z	30	28
1058172904	Graph isPrime speeds	2012-11-05T23:18:19Z	13	8
1094509577	Super Yoga Plans graph	2012-10-23T16:25:08Z	13	12
1312765885	Investigating Benford's Law	2013-01-24T13:02:42Z	13	5
1534799017	Magnet and iron filings	2013-04-10T16:14:56Z	13	8
1599014102	Original Survival!	2013-04-30T20:47:01Z	13	2
6020919452	Genesis effect	2016-06-14T14:43:46Z	13	3
4785323370086400	Spin-off of "3D Globe"	2015-03-12T19:30:54Z	13	4
5045666778710016	INTERACT: Parallax effect	2013-11-23T13:53:19Z	13	6
5205033722707968	Poisson disc sampling animation	2016-05-18T10:01:12Z	13	24
5214974007574528	Subdivision of a hand	2015-07-03T13:25:40Z	13	5
5608256829652992	Building snake bots	2015-08-14T17:59:20Z	13	8
1100270197	Troll Riddle graph	2012-10-22T18:00:14Z	21	9
1194122584	Challenge - Visualizing the chain rule	2013-06-19T17:04:01Z	21	6
1092871348	Depolarization wave in the heart	2012-11-05T23:16:54Z	12	6
1131629502	PV = nRT	2013-02-18T21:53:47Z	12	9
4498355777	Spin-off of "Contest: Animate a rigged character"	2016-04-13T20:07:10Z	12	0
5297065672	Map test	2016-05-10T13:58:04Z	12	2
1295571134	Exploring inscribed angles	2013-01-18T13:39:59Z	18	8
2782554783	Descent stage test	2013-12-03T15:20:00Z	18	19
5846876903	Animação Direta	2016-06-15T18:40:07Z	18	2
1075928895	3D ghost	2012-10-24T17:56:32Z	11	9
1272473744	Emergence of tetrahedron bond angles	2013-01-07T17:31:59Z	11	3
1853088275	Subtended Angle	2013-09-23T14:41:26Z	11	4
1867807865	Earth telescope	2013-09-01T18:51:41Z	11	4
2512228641	Cruise Stage	2014-01-15T16:54:15Z	11	15
2968780686	1D noise with subdivision	2016-05-19T09:55:57Z	11	16
4806195854966784	Whole holes	2014-06-26T09:38:05Z	11	2
5880645745377280	Animation with linear interpolation	2015-08-14T10:19:13Z	11	5
5994481558355968	Voronoi with different distributions - draw all	2016-07-16T22:22:04Z	11	21
6710480905175040	Moving grass 2D	2014-06-17T14:20:18Z	11	6
1105200143	Simulation of oil in water 2	2012-11-08T16:20:11Z	10	2
1141544281	Build a network	2012-11-13T22:01:03Z	10	2
1352001089	Tax brackets	2013-02-08T23:31:15Z	10	3
2763817823	Tribute to Ad Reinhardt	2013-12-02T19:46:40Z	10	2
4229437001	Make your own dino skin 1	2016-06-14T14:23:34Z	10	0
5056836848	Smoothed particle hydrodynamics	2016-07-14T13:12:29Z	10	5
5279682075	Shadow test	2016-05-10T17:21:08Z	10	2
4646662727008256	Interactive: Weighted subdivision	2016-02-11T21:04:25Z	10	2
4670499221274624	Animation 3 - cubic interpolation c	2015-04-27T10:06:08Z	10	1
4972420843044864	Voronoi diagram images	2016-05-12T11:19:47Z	10	6
5446827933696000	Cube rotated around Z	2015-10-26T21:42:40Z	10	41
5515380745306112	Approximating a parabola	2014-03-20T10:37:34Z	10	2
5698243230040064	Where Does My Program Rank On The Hot List? (API version)	2015-07-26T16:54:21Z	10	2
6367500417105920	Interactive: Split and average	2015-08-18T11:26:19Z	10	2
1082294758	3D tortoise	2012-10-11T22:27:48Z	9	8
1151000632	Skeleton hand	2013-02-27T12:48:42Z	9	7
1273173942	3D Penicillin G molecule	2013-01-07T21:41:48Z	9	14
